camera,c_number,colony,antColour,antID,spatialEntropies
54,C5,qi_cam54_exp3_a1_8wl,GO,54_C5_qi_cam54_exp3_a1_8wl_GO,7.204911029
54,C5,qi_cam54_exp3_a1_8wl,OO,54_C5_qi_cam54_exp3_a1_8wl_OO,7.954497356
54,C5,qi_cam54_exp3_a1_8wl,PB,54_C5_qi_cam54_exp3_a1_8wl_PB,7.264413961
54,C5,qi_cam54_exp3_a1_8wl,PG,54_C5_qi_cam54_exp3_a1_8wl_PG,8.131619466
54,C5,qi_cam54_exp3_a1_8wl,PP,54_C5_qi_cam54_exp3_a1_8wl_PP,2.720405312
61,C2,qi_cam61_exp3_a1_8wl,BB,61_C2_qi_cam61_exp3_a1_8wl_BB,6.260274421
61,C2,qi_cam61_exp3_a1_8wl,BO,61_C2_qi_cam61_exp3_a1_8wl_BO,6.761816322
61,C2,qi_cam61_exp3_a1_8wl,GB,61_C2_qi_cam61_exp3_a1_8wl_GB,5.302471111
61,C2,qi_cam61_exp3_a1_8wl,GO,61_C2_qi_cam61_exp3_a1_8wl_GO,8.076640343
61,C2,qi_cam61_exp3_a1_8wl,OO,61_C2_qi_cam61_exp3_a1_8wl_OO,6.549493396
61,C2,qi_cam61_exp3_a1_8wl,PB,61_C2_qi_cam61_exp3_a1_8wl_PB,5.39392807
61,C2,qi_cam61_exp3_a1_8wl,PG,61_C2_qi_cam61_exp3_a1_8wl_PG,4.957782025
61,C2,qi_cam61_exp3_a1_8wl,PP,61_C2_qi_cam61_exp3_a1_8wl_PP,4.988607121
61,C4,qi_cam61_exp3_a1_8n,BB,61_C4_qi_cam61_exp3_a1_8n_BB,4.284130323
61,C4,qi_cam61_exp3_a1_8n,BO,61_C4_qi_cam61_exp3_a1_8n_BO,1.750675857
61,C4,qi_cam61_exp3_a1_8n,GB,61_C4_qi_cam61_exp3_a1_8n_GB,0.843284248
61,C4,qi_cam61_exp3_a1_8n,GO,61_C4_qi_cam61_exp3_a1_8n_GO,2.728600911
61,C4,qi_cam61_exp3_a1_8n,OO,61_C4_qi_cam61_exp3_a1_8n_OO,2.248518418
61,C4,qi_cam61_exp3_a1_8n,PB,61_C4_qi_cam61_exp3_a1_8n_PB,4.248586727
61,C4,qi_cam61_exp3_a1_8n,PG,61_C4_qi_cam61_exp3_a1_8n_PG,5.552967076
61,C4,qi_cam61_exp3_a1_8n,PP,61_C4_qi_cam61_exp3_a1_8n_PP,3.293085071
61,C6,qi_cam61_exp3_a1_8wp,BB,61_C6_qi_cam61_exp3_a1_8wp_BB,4.923739315
61,C6,qi_cam61_exp3_a1_8wp,BO,61_C6_qi_cam61_exp3_a1_8wp_BO,1.884724071
61,C6,qi_cam61_exp3_a1_8wp,GB,61_C6_qi_cam61_exp3_a1_8wp_GB,3.201839057
61,C6,qi_cam61_exp3_a1_8wp,GO,61_C6_qi_cam61_exp3_a1_8wp_GO,3.518797017
61,C6,qi_cam61_exp3_a1_8wp,OO,61_C6_qi_cam61_exp3_a1_8wp_OO,5.390421465
61,C6,qi_cam61_exp3_a1_8wp,PB,61_C6_qi_cam61_exp3_a1_8wp_PB,3.523175631
61,C6,qi_cam61_exp3_a1_8wp,PG,61_C6_qi_cam61_exp3_a1_8wp_PG,1.808711424
61,C6,qi_cam61_exp3_a1_8wp,PP,61_C6_qi_cam61_exp3_a1_8wp_PP,4.717119292
