Observation id,Observation date,Description,Media file,Total length,FPS,number of ants,brood or not,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
qi_cam34_exp3_a2_4wp,2023-08-31 13:46:48,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,4,wp,go,meet,,,POINT,260.344,260.344,NA,,
qi_cam34_exp3_a2_4wp,2023-08-31 13:46:48,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,4,wp,bo,meet,,,POINT,260.828,260.828,NA,,
qi_cam34_exp3_a2_4wl,2023-08-31 13:46:24,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,4,wl,bo,meet,,,POINT,261.211,261.211,NA,,
qi_cam34_exp3_a2_4wp,2023-08-31 13:46:48,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,4,wp,go,sting,,,STATE,263.354,267.096,3.742,,
qi_cam34_exp3_a2_4wp,2023-08-31 13:46:48,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,4,wp,gb,meet,,,POINT,267.907,267.907,NA,,
qi_cam34_exp3_a2_4wp,2023-08-31 13:46:48,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,4,wp,bo,meet,,,POINT,268.321,268.321,NA,,
qi_cam34_exp3_a2_8n,2023-08-31 13:47:05,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,8,n,pg,meet,,,POINT,269.403,269.403,NA,,
qi_cam34_exp3_a2_8wl,2023-08-31 13:47:28,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,8,wl,pp,meet,,,POINT,269.653,269.653,NA,,
qi_cam34_exp3_a2_8wl,2023-08-31 13:47:28,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,8,wl,pp,sting,,,STATE,271.902,307.153,35.251,,
qi_cam34_exp3_a2_4wp,2023-08-31 13:46:48,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,4,wp,go,meet,,,POINT,274.600,274.600,NA,,
qi_cam34_exp3_a2_4wl,2023-08-31 13:46:24,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,4,wl,gb,meet,,,POINT,275.654,275.654,NA,,
qi_cam34_exp3_a2_8wl,2023-08-31 13:47:28,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,8,wl,gb,meet,,,POINT,277.414,277.414,NA,,
qi_cam34_exp3_a2_8wl,2023-08-31 13:47:28,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,8,wl,gb,sting,,,STATE,281.916,291.668,9.752,,
qi_cam34_exp3_a2_8wp,2023-08-31 13:47:49,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,8,wp,oo,meet,,,POINT,285.118,285.118,NA,,
qi_cam34_exp3_a2_8wl,2023-08-31 13:47:28,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,8,wl,bb,meet,,,POINT,285.168,285.168,NA,,
qi_cam34_exp3_a2_8wl,2023-08-31 13:47:28,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,8,wl,bb,sting,,,STATE,287.410,298.660,11.250,,
qi_cam34_exp3_a2_4wp,2023-08-31 13:46:48,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,4,wp,go,meet,,,POINT,287.598,287.598,NA,,
qi_cam34_exp3_a2_4n,2023-08-31 13:45:30,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,4,n,go,meet,,,POINT,288.651,288.651,NA,,
qi_cam34_exp3_a2_8n,2023-08-31 13:47:05,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,8,n,oo,meet,,,POINT,289.652,289.652,NA,,
qi_cam34_exp3_a2_8wp,2023-08-31 13:47:49,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,8,wp,bo,meet,,,POINT,291.124,291.124,NA,,
qi_cam34_exp3_a2_8wp,2023-08-31 13:47:49,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,8,wp,pp,meet,,,POINT,292.406,292.406,NA,,
qi_cam34_exp3_a2_8wl,2023-08-31 13:47:28,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,8,wl,pg,meet,,,POINT,292.655,292.655,NA,,
qi_cam34_exp3_a2_8n,2023-08-31 13:47:05,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,8,n,go,meet,,,POINT,294.652,294.652,NA,,
qi_cam34_exp3_a2_8wl,2023-08-31 13:47:28,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,8,wl,go,meet,,,POINT,297.914,297.914,NA,,
qi_cam34_exp3_a2_4wp,2023-08-31 13:46:48,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,4,wp,bo,meet,,,POINT,305.068,305.068,NA,,
qi_cam34_exp3_a2_4n,2023-08-31 13:45:30,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,4,n,bo,meet,,,POINT,308.154,308.154,NA,,
qi_cam34_exp3_a2_4wp,2023-08-31 13:46:48,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,4,wp,gb,meet,,,POINT,309.907,309.907,NA,,
qi_cam34_exp3_a2_8wp,2023-08-31 13:47:49,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,8,wp,oo,meet,,,POINT,311.373,311.373,NA,,
qi_cam34_exp3_a2_4wp,2023-08-31 13:46:48,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,4,wp,go,meet,,,POINT,313.093,313.093,NA,,
qi_cam34_exp3_a2_4wp,2023-08-31 13:46:48,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,4,wp,bo,meet,,,POINT,314.073,314.073,NA,,
qi_cam34_exp3_a2_8wp,2023-08-31 13:47:49,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,8,wp,pb,meet,,,POINT,315.391,315.391,NA,,
qi_cam34_exp3_a2_8wl,2023-08-31 13:47:28,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,8,wl,bb,meet,,,POINT,316.664,316.664,NA,,
qi_cam34_exp3_a2_8wl,2023-08-31 13:47:28,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,8,wl,gb,meet,,,POINT,317.158,317.158,NA,,
qi_cam34_exp3_a2_8wl,2023-08-31 13:47:28,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,8,wl,bb,sting,,,STATE,317.416,343.662,26.246,,
